ID ,Primary_Property_ID ,Property_Name,SV ,Agoda,MMT ,Booking ,Airbnb
5,5,The Boulevard Villa,https://www.stayvista.com/villa/the-boulevard-villa-4-bhk-villa-in-lonavala-with-private-pool-and-spacious-rooms,https://www.agoda.com/en-in/the-boulevard-by-vista-rooms/hotel/lonavala-in.html,https://www.makemytrip.com/hotels/hotel-details/?hotelId=201812311719539456&_uCurrency=INR&checkin=11252025&checkout=11262025&city=CTAGR&country=IN&funnelType=getaway&lat=27.16779&lng=78.04893&locusId=ZNDEL67F7E280&locusType=zone&rank=1&roomStayQualifier=2e0e&seekSummaryRequired=false&viewType=LUXE&mtkeys=defaultMtkey1000225027https://www.makemytrip.com/hotels/hotel-details/?hotelId=,https://www.booking.com/hotel/in/the-boulevard-lonavla.html,https://www.airbnb.com/rooms/1313520797064200631
7,7,Vista Valencia Villa,https://www.stayvista.com/villa/vista-valencia-villa-4-bhk-villa-in-lonavala-with-spacious-rooms,https://www.agoda.com/en-in/valencia-by-vista-rooms/hotel/lonavala-in.html,https://www.makemytrip.com/hotels/hotel-details/?hotelId=202201181216274404&_uCurrency=INR&checkin=11252025&checkout=11262025&city=CTAGR&country=IN&funnelType=getaway&lat=27.16779&lng=78.04893&locusId=ZNDEL67F7E280&locusType=zone&rank=1&roomStayQualifier=2e0e&seekSummaryRequired=false&viewType=LUXE&mtkeys=defaultMtkey1000376857https://www.makemytrip.com/hotels/hotel-details/?hotelId=,https://www.booking.com/hotel/in/vista-garden-villa.html,https://www.airbnb.com/rooms/654660357644872073
29,29,Adhisthana villa,https://www.stayvista.com/villa/vista-serene-3-bhk-villa-in-karjat-with-private-pool-and-spacious-rooms,https://www.agoda.com/en-in/en-in/serene-by-vista-rooms/hotel/karjat-in.html,https://www.makemytrip.com/hotels/hotel-details/?hotelId=202104011946227630&_uCurrency=INR&checkin=11252025&checkout=11262025&city=CTAGR&country=IN&funnelType=getaway&lat=27.16779&lng=78.04893&locusId=ZNDEL67F7E280&locusType=zone&rank=1&roomStayQualifier=2e0e&seekSummaryRequired=false&viewType=LUXE&mtkeys=defaultMtkey1000342053https://www.makemytrip.com/hotels/hotel-details/?hotelId=,https://www.booking.com/hotel/in/3bhk-villa-in-karjat.html,https://www.airbnb.com/rooms/1588364350289160966
32,32,white pebbles,https://www.stayvista.com/villa/vista-white-pebbles-villa-4-bhk-villa-in-lonavala-with-spacious-rooms,https://www.agoda.com/en-in/white-pebbles-by-vista-rooms/hotel/lonavala-in.html,https://www.makemytrip.com/hotels/hotel-details/?hotelId=201901041230052752&_uCurrency=INR&checkin=11252025&checkout=11262025&city=CTAGR&country=IN&funnelType=getaway&lat=27.16779&lng=78.04893&locusId=ZNDEL67F7E280&locusType=zone&rank=1&roomStayQualifier=2e0e&seekSummaryRequired=false&viewType=LUXE&mtkeys=defaultMtkey1000225361https://www.makemytrip.com/hotels/hotel-details/?hotelId=,https://www.booking.com/hotel/in/vista-white-pebbles.html,https://www.airbnb.com/rooms/35888516
57,57,Santoni Farms,https://www.stayvista.com/villa/santoni-farms-3-bhk-villa-in-karjat-with-private-pool-and-spacious-rooms,https://www.agoda.com/en-in/santoni-farms/hotel/karjat-in.html,https://www.makemytrip.com/hotels/hotel-details/?hotelId=201812311710071317&_uCurrency=INR&checkin=11252025&checkout=11262025&city=CTAGR&country=IN&funnelType=getaway&lat=27.16779&lng=78.04893&locusId=ZNDEL67F7E280&locusType=zone&rank=1&roomStayQualifier=2e0e&seekSummaryRequired=false&viewType=LUXE&mtkeys=defaultMtkey1000225019https://www.makemytrip.com/hotels/hotel-details/?hotelId=,https://www.booking.com/hotel/in/santoni-farms-karjat.html,https://www.airbnb.com/rooms/42898605
75,75,Princess villa,https://www.stayvista.com/villa/princess-vista-pawna-3-bhk-villa-in-lonavala-with-private-pool-and-spacious-rooms,https://www.agoda.com/princess-villa-by-vista-rooms/hotel/pune-in.html,https://www.makemytrip.com/hotels/hotel-details/?hotelId=201901091614188386&_uCurrency=INR&checkin=11252025&checkout=11262025&city=CTAGR&country=IN&funnelType=getaway&lat=27.16779&lng=78.04893&locusId=ZNDEL67F7E280&locusType=zone&rank=1&roomStayQualifier=2e0e&seekSummaryRequired=false&viewType=LUXE&mtkeys=defaultMtkey1000225373https://www.makemytrip.com/hotels/hotel-details/?hotelId=,https://www.booking.com/hotel/in/princess-villa-lonavala.html,https://www.airbnb.com/rooms/1217140775649212419
92,92,greenwoods villa 7,https://www.stayvista.com/villa/vista-greenwoods-seven-villa-5-bhk-villa-in-lonavala-with-private-pool-and-spacious-rooms,https://www.agoda.com/en-gb/greenwoods-seven-by-vista-rooms/hotel/lonavala-in.html,https://www.makemytrip.com/hotels/hotel-details/?hotelId=201901071302426405&_uCurrency=INR&checkin=11252025&checkout=11262025&city=CTAGR&country=IN&funnelType=getaway&lat=27.16779&lng=78.04893&locusId=ZNDEL67F7E280&locusType=zone&rank=1&roomStayQualifier=2e0e&seekSummaryRequired=false&viewType=LUXE&mtkeys=defaultMtkey1000225479https://www.makemytrip.com/hotels/hotel-details/?hotelId=,https://www.booking.com/hotel/in/vista-greenville.html,https://www.airbnb.com/rooms/1556318981967969151
97,97,Mehta Mansion,https://www.stayvista.com/villa/mehta-mansion-9-bhk-villa-with-private-pool,https://www.agoda.com/en-in/parsi-mansion-big-pool-pool-table/hotel/lonavala-in.html,https://www.makemytrip.com/hotels/hotel-details/?hotelId=201901101525002182&_uCurrency=INR&checkin=11252025&checkout=11262025&city=CTAGR&country=IN&funnelType=getaway&lat=27.16779&lng=78.04893&locusId=ZNDEL67F7E280&locusType=zone&rank=1&roomStayQualifier=2e0e&seekSummaryRequired=false&viewType=LUXE&mtkeys=defaultMtkey1000225419https://www.makemytrip.com/hotels/hotel-details/?hotelId=,https://www.booking.com/hotel/in/mehta-mansion.html,https://www.airbnb.com/rooms/48249508
100,100,Bungalow 89,https://www.stayvista.com/villa/bungalow-89-4-bhk-villa-in-lonavala-with-spacious-rooms,https://www.agoda.com/en-in/en-in/3bhk-lake-view-villa-in-lonavala-near-bhushi-dam/hotel/lonavala-in.html,https://www.makemytrip.com/hotels/hotel-details/?hotelId=202307271702235741&_uCurrency=INR&checkin=11252025&checkout=11262025&city=CTAGR&country=IN&funnelType=getaway&lat=27.16779&lng=78.04893&locusId=ZNDEL67F7E280&locusType=zone&rank=1&roomStayQualifier=2e0e&seekSummaryRequired=false&viewType=LUXE&mtkeys=defaultMtkey1000476844https://www.makemytrip.com/hotels/hotel-details/?hotelId=,https://www.booking.com/hotel/in/bungalow-89.html,https://www.airbnb.com/rooms/944698822806029380
107,107,el house,https://www.stayvista.com/villa/el-house-4-bhk-villa-in-lonavala-with-private-pool-and-spacious-rooms,https://www.agoda.com/en-in/en-in/el-house-by-vista-rooms/hotel/lonavala-in.html,https://www.makemytrip.com/hotels/hotel-details/?hotelId=201901091226204920&_uCurrency=INR&checkin=11252025&checkout=11262025&city=CTAGR&country=IN&funnelType=getaway&lat=27.16779&lng=78.04893&locusId=ZNDEL67F7E280&locusType=zone&rank=1&roomStayQualifier=2e0e&seekSummaryRequired=false&viewType=LUXE&mtkeys=defaultMtkey1000225472https://www.makemytrip.com/hotels/hotel-details/?hotelId=,https://www.booking.com/hotel/in/el-house-by-vista.html,https://www.airbnb.com/rooms/23135024
